39（厘米）,持续时间：4.297594（秒）	[2017.05.19 11:12:45 Friday]
43（厘米）,持续时间：7.463471（秒）	[2017.05.19 11:13:04 Friday]
39（厘米）,持续时间：0.439874（秒）	[2017.05.19 15:50:20 Friday]
40（厘米）,持续时间：5.330093（秒）	[2017.05.19 15:51:29 Friday]
42（厘米）,持续时间：4.751245（秒）	[2017.05.19 15:52:51 Friday]
29（厘米）,持续时间：8.342526（秒）	[2017.05.19 16:33:40 Friday]
37（厘米）,持续时间：12.053609（秒）	[2017.05.19 16:33:58 Friday]
32（厘米）,持续时间：24.547805（秒）	[2017.05.19 16:34:29 Friday]
未检测到人,持续时间：0.568645（秒）	[2017.05.22 15:50:16 Monday]
未检测到人,持续时间：0.574057（秒）	[2017.05.22 15:50:47 Monday]
未检测到人,持续时间：0.547203（秒）	[2017.05.22 15:51:11 Monday]
未检测到人,持续时间：29691462691873450000000000000000000000000000000000000000.000000（秒）	[2017.05.22 15:53:15 Monday]
未检测到人,持续时间：11.990165（秒）	[2017.05.22 15:53:31 Monday]
未检测到人,持续时间：9.498164（秒）	[2017.05.22 15:54:06 Monday]
未检测到人,持续时间：29691462691873450000000000000000000000000000000000000000.000000（秒）	[2017.05.22 18:35:56 Monday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 14:27:47 Thursday]
44（厘米）,持续时间：6.717914（秒）	[2017.05.25 14:27:53 Thursday]
未检测到人,持续时间：8.762142（秒）	[2017.05.25 14:28:02 Thursday]
46（厘米）,持续时间：3.282772（秒）	[2017.05.25 14:28:05 Thursday]
未检测到人,持续时间：5.373531（秒）	[2017.05.25 14:28:11 Thursday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 14:36:00 Thursday]
46（厘米）,持续时间：8.098739（秒）	[2017.05.25 14:36:08 Thursday]
未检测到人,持续时间：2.462943（秒）	[2017.05.25 14:36:10 Thursday]
45（厘米）,持续时间：2.094870（秒）	[2017.05.25 14:36:12 Thursday]
未检测到人,持续时间：2.845140（秒）	[2017.05.25 14:36:15 Thursday]
46（厘米）,持续时间：1.743901（秒）	[2017.05.25 14:36:17 Thursday]
未检测到人,持续时间：1.870663（秒）	[2017.05.25 14:36:19 Thursday]
50（厘米）,持续时间：1.898567（秒）	[2017.05.25 14:36:21 Thursday]
未检测到人,持续时间：1.541242（秒）	[2017.05.25 14:36:22 Thursday]
46（厘米）,持续时间：3.397478（秒）	[2017.05.25 14:36:26 Thursday]
未检测到人,持续时间：1.699828（秒）	[2017.05.25 14:36:27 Thursday]
46（厘米）,持续时间：1.577775（秒）	[2017.05.25 14:36:29 Thursday]
未检测到人,持续时间：1.340892（秒）	[2017.05.25 14:36:30 Thursday]
45（厘米）,持续时间：1.916184（秒）	[2017.05.25 14:36:32 Thursday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 14:38:33 Thursday]
45（厘米）,持续时间：6.847922（秒）	[2017.05.25 14:38:35 Thursday]
未检测到人,持续时间：37.989208（秒）	[2017.05.25 14:39:13 Thursday]
48（厘米）,持续时间：2.765578（秒）	[2017.05.25 14:39:29 Thursday]
未检测到人,持续时间：3.939930（秒）	[2017.05.25 14:39:33 Thursday]
未检测到人,持续时间：2.526860（秒）	[2017.05.25 14:39:37 Thursday]
未检测到人,持续时间：31.562060（秒）	[2017.05.25 14:40:14 Thursday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 14:50:57 Thursday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 14:52:40 Thursday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 14:53:42 Thursday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 14:54:05 Thursday]
50（厘米）,持续时间：5.829990（秒）	[2017.05.25 14:54:11 Thursday]
未检测到人,持续时间：4.412800（秒）	[2017.05.25 14:54:16 Thursday]
未检测到人,持续时间：29692948586120426000000000000000000000000000000000000000.000000（秒）	[2017.05.25 16:31:34 Thursday]
49（厘米）,持续时间：1.920078（秒）	[2017.05.25 16:31:36 Thursday]
未检测到人,持续时间：29691834151493055000000000000000000000000000000000000000.000000（秒）	[2017.06.08 17:10:00 Thursday]
未检测到人,持续时间：29691834151493055000000000000000000000000000000000000000.000000（秒）	[2017.06.08 17:10:44 Thursday]
40（厘米）,持续时间：20.697455（秒）	[2017.06.08 17:11:04 Thursday]
未检测到人,持续时间：1.571753（秒）	[2017.06.08 17:11:06 Thursday]
未检测到人,持续时间：29691834151493055000000000000000000000000000000000000000.000000（秒）	[2017.06.08 17:16:35 Thursday]
未检测到人,持续时间：29690900757806745000000000000000000000000000000000000000.000000（秒）	[2017.07.03 10:31:11 Monday]
60（厘米）,持续时间：2.889651（秒）	[2017.07.03 10:31:14 Monday]
